week,month,staff_name,role,service,present
50,12,Allison Hill,doctor,emergency,True
51,12,Allison Hill,doctor,emergency,False
52,13,Allison Hill,doctor,emergency,True
1,1,Noah Rhodes,doctor,emergency,True
2,1,Noah Rhodes,doctor,emergency,True
3,1,Noah Rhodes,doctor,emergency,False
4,1,Noah Rhodes,doctor,emergency,True
5,2,Noah Rhodes,doctor,emergency,True
6,2,Noah Rhodes,doctor,emergency,False
7,2,Noah Rhodes,doctor,emergency,True
8,2,Noah Rhodes,doctor,emergency,True
9,3,Noah Rhodes,doctor,emergency,False
10,3,Noah Rhodes,doctor,emergency,True
11,3,Noah Rhodes,doctor,emergency,True
12,3,Noah Rhodes,doctor,emergency,False
13,4,Noah Rhodes,doctor,emergency,False
14,4,Noah Rhodes,doctor,emergency,False
15,4,Noah Rhodes,doctor,emergency,False
16,4,Noah Rhodes,doctor,emergency,False
17,4,Noah Rhodes,doctor,emergency,True
18,5,Noah Rhodes,doctor,emergency,False
19,5,Noah Rhodes,doctor,emergency,True
20,5,Noah Rhodes,doctor,emergency,True
21,5,Noah Rhodes,doctor,emergency,False
22,6,Noah Rhodes,doctor,emergency,True
23,6,Noah Rhodes,doctor,emergency,False
24,6,Noah Rhodes,doctor,emergency,False
25,6,Noah Rhodes,doctor,emergency,True
26,7,Noah Rhodes,doctor,emergency,True
27,7,Noah Rhodes,doctor,emergency,False
28,7,Noah Rhodes,doctor,emergency,True
29,7,Noah Rhodes,doctor,emergency,False
30,7,Noah Rhodes,doctor,emergency,False
31,8,Noah Rhodes,doctor,emergency,True
32,8,Noah Rhodes,doctor,emergency,True
33,8,Noah Rhodes,doctor,emergency,False
34,8,Noah Rhodes,doctor,emergency,False
35,9,Noah Rhodes,doctor,emergency,True
36,9,Noah Rhodes,doctor,emergency,False
37,9,Noah Rhodes,doctor,emergency,True
38,9,Noah Rhodes,doctor,emergency,True
39,10,Noah Rhodes,doctor,emergency,False
40,10,Noah Rhodes,doctor,emergency,True
41,10,Noah Rhodes,doctor,emergency,True
42,10,Noah Rhodes,doctor,emergency,False
43,10,Noah Rhodes,doctor,emergency,True
44,11,Noah Rhodes,doctor,emergency,True
45,11,Noah Rhodes,doctor,emergency,False
46,11,Noah Rhodes,doctor,emergency,True
47,11,Noah Rhodes,doctor,emergency,False
48,12,Noah Rhodes,doctor,emergency,False
49,12,Noah Rhodes,doctor,emergency,True
50,12,Noah Rhodes,doctor,emergency,True
51,12,Noah Rhodes,doctor,emergency,False
52,13,Noah Rhodes,doctor,emergency,True
1,1,Angie Henderson,doctor,emergency,True
2,1,Angie Henderson,doctor,emergency,True
3,1,Angie Henderson,doctor,emergency,False
4,1,Angie Henderson,doctor,emergency,False
5,2,Angie Henderson,doctor,emergency,True
6,2,Angie Henderson,doctor,emergency,False
7,2,Angie Henderson,doctor,emergency,False
8,2,Angie Henderson,doctor,emergency,True
9,3,Angie Henderson,doctor,emergency,False
10,3,Angie Henderson,doctor,emergency,False
11,3,Angie Henderson,doctor,emergency,True
12,3,Angie Henderson,doctor,emergency,False
13,4,Angie Henderson,doctor,emergency,True
14,4,Angie Henderson,doctor,emergency,True
15,4,Angie Henderson,doctor,emergency,False
16,4,Angie Henderson,doctor,emergency,True
17,4,Angie Henderson,doctor,emergency,True
18,5,Angie Henderson,doctor,emergency,False
19,5,Angie Henderson,doctor,emergency,False
20,5,Angie Henderson,doctor,emergency,True
21,5,Angie Henderson,doctor,emergency,False
22,6,Angie Henderson,doctor,emergency,True
23,6,Angie Henderson,doctor,emergency,True
24,6,Angie Henderson,doctor,emergency,False
25,6,Angie Henderson,doctor,emergency,True
26,7,Angie Henderson,doctor,emergency,True
27,7,Angie Henderson,doctor,emergency,False
28,7,Angie Henderson,doctor,emergency,True
29,7,Angie Henderson,doctor,emergency,True
30,7,Angie Henderson,doctor,emergency,False
31,8,Angie Henderson,doctor,emergency,False
32,8,Angie Henderson,doctor,emergency,True
33,8,Angie Henderson,doctor,emergency,False
34,8,Angie Henderson,doctor,emergency,True
35,9,Angie Henderson,doctor,emergency,True
36,9,Angie Henderson,doctor,emergency,False
37,9,Angie Henderson,doctor,emergency,True
38,9,Angie Henderson,doctor,emergency,False
39,10,Angie Henderson,doctor,emergency,False
40,10,Angie Henderson,doctor,emergency,True
41,10,Angie Henderson,doctor,emergency,True
42,10,Angie Henderson,doctor,emergency,False
43,10,Angie Henderson,doctor,emergency,True
44,11,Angie Henderson,doctor,emergency,True
45,11,Angie Henderson,doctor,emergency,False
46,11,Angie Henderson,doctor,emergency,True
47,11,Angie Henderson,doctor,emergency,True
48,12,Angie Henderson,doctor,emergency,False
49,12,Angie Henderson,doctor,emergency,True
50,12,Angie Henderson,doctor,emergency,True
51,12,Angie Henderson,doctor,emergency,False
52,13,Angie Henderson,doctor,emergency,True
1,1,Daniel Wagner,doctor,emergency,True
2,1,Daniel Wagner,doctor,emergency,True
3,1,Daniel Wagner,doctor,emergency,False
4,1,Daniel Wagner,doctor,emergency,True
5,2,Daniel Wagner,doctor,emergency,True
6,2,Daniel Wagner,doctor,emergency,False
7,2,Daniel Wagner,doctor,emergency,True
8,2,Daniel Wagner,doctor,emergency,True
9,3,Daniel Wagner,doctor,emergency,False
10,3,Daniel Wagner,doctor,emergency,True
11,3,Daniel Wagner,doctor,emergency,True
12,3,Daniel Wagner,doctor,emergency,False
13,4,Daniel Wagner,doctor,emergency,False
14,4,Daniel Wagner,doctor,emergency,True
15,4,Daniel Wagner,doctor,emergency,False
16,4,Daniel Wagner,doctor,emergency,True
17,4,Daniel Wagner,doctor,emergency,True
18,5,Daniel Wagner,doctor,emergency,False
19,5,Daniel Wagner,doctor,emergency,True
20,5,Daniel Wagner,doctor,emergency,True
21,5,Daniel Wagner,doctor,emergency,False
22,6,Daniel Wagner,doctor,emergency,True
23,6,Daniel Wagner,doctor,emergency,True
24,6,Daniel Wagner,doctor,emergency,False
25,6,Daniel Wagner,doctor,emergency,True
26,7,Daniel Wagner,doctor,emergency,True
27,7,Daniel Wagner,doctor,emergency,False
28,7,Daniel Wagner,doctor,emergency,True
29,7,Daniel Wagner,doctor,emergency,True
30,7,Daniel Wagner,doctor,emergency,False
31,8,Daniel Wagner,doctor,emergency,True
32,8,Daniel Wagner,doctor,emergency,True
33,8,Daniel Wagner,doctor,emergency,False
34,8,Daniel Wagner,doctor,emergency,True
35,9,Daniel Wagner,doctor,emergency,True
36,9,Daniel Wagner,doctor,emergency,False
37,9,Daniel Wagner,doctor,emergency,False
38,9,Daniel Wagner,doctor,emergency,False
39,10,Daniel Wagner,doctor,emergency,False
40,10,Daniel Wagner,doctor,emergency,True
41,10,Daniel Wagner,doctor,emergency,True
42,10,Daniel Wagner,doctor,emergency,False
43,10,Daniel Wagner,doctor,emergency,True
44,11,Daniel Wagner,doctor,emergency,True
45,11,Daniel Wagner,doctor,emergency,False
46,11,Daniel Wagner,doctor,emergency,True
47,11,Daniel Wagner,doctor,emergency,True
48,12,Daniel Wagner,doctor,emergency,False
49,12,Daniel Wagner,doctor,emergency,True
50,12,Daniel Wagner,doctor,emergency,True
51,12,Daniel Wagner,doctor,emergency,False
52,13,Daniel Wagner,doctor,emergency,True
1,1,Cristian Santos,doctor,emergency,True
2,1,Cristian Santos,doctor,emergency,True
3,1,Cristian Santos,doctor,emergency,False
4,1,Cristian Santos,doctor,emergency,True
5,2,Cristian Santos,doctor,emergency,True
6,2,Cristian Santos,doctor,emergency,False
7,2,Cristian Santos,doctor,emergency,True
8,2,Cristian Santos,doctor,emergency,True
9,3,Cristian Santos,doctor,emergency,False
10,3,Cristian Santos,doctor,emergency,False
11,3,Cristian Santos,doctor,emergency,True
12,3,Cristian Santos,doctor,emergency,False
13,4,Cristian Santos,doctor,emergency,False
14,4,Cristian Santos,doctor,emergency,False
15,4,Cristian Santos,doctor,emergency,False
16,4,Cristian Santos,doctor,emergency,True
17,4,Cristian Santos,doctor,emergency,True
18,5,Cristian Santos,doctor,emergency,False
19,5,Cristian Santos,doctor,emergency,True
20,5,Cristian Santos,doctor,emergency,True
21,5,Cristian Santos,doctor,emergency,False
22,6,Cristian Santos,doctor,emergency,True
23,6,Cristian Santos,doctor,emergency,True
24,6,Cristian Santos,doctor,emergency,False
25,6,Cristian Santos,doctor,emergency,True
26,7,Cristian Santos,doctor,emergency,True
27,7,Cristian Santos,doctor,emergency,False
28,7,Cristian Santos,doctor,emergency,True
29,7,Cristian Santos,doctor,emergency,True
30,7,Cristian Santos,doctor,emergency,False
31,8,Cristian Santos,doctor,emergency,True
32,8,Cristian Santos,doctor,emergency,True
33,8,Cristian Santos,doctor,emergency,False
34,8,Cristian Santos,doctor,emergency,True
35,9,Cristian Santos,doctor,emergency,False
36,9,Cristian Santos,doctor,emergency,False
37,9,Cristian Santos,doctor,emergency,True
38,9,Cristian Santos,doctor,emergency,True
39,10,Cristian Santos,doctor,emergency,False
40,10,Cristian Santos,doctor,emergency,True
41,10,Cristian Santos,doctor,emergency,True
42,10,Cristian Santos,doctor,emergency,False
43,10,Cristian Santos,doctor,emergency,True
44,11,Cristian Santos,doctor,emergency,True
45,11,Cristian Santos,doctor,emergency,False
46,11,Cristian Santos,doctor,emergency,False
47,11,Cristian Santos,doctor,emergency,True
48,12,Cristian Santos,doctor,emergency,False
49,12,Cristian Santos,doctor,emergency,True
50,12,Cristian Santos,doctor,emergency,True
51,12,Cristian Santos,doctor,emergency,False
52,13,Cristian Santos,doctor,emergency,True
1,1,Connie Lawrence,doctor,emergency,True
2,1,Connie Lawrence,doctor,emergency,True
3,1,Connie Lawrence,doctor,emergency,False
4,1,Connie Lawrence,doctor,emergency,True
5,2,Connie Lawrence,doctor,emergency,True
6,2,Connie Lawrence,doctor,emergency,False
7,2,Connie Lawrence,doctor,emergency,True
8,2,Connie Lawrence,doctor,emergency,True
9,3,Connie Lawrence,doctor,emergency,False
10,3,Connie Lawrence,doctor,emergency,True
11,3,Connie Lawrence,doctor,emergency,True
12,3,Connie Lawrence,doctor,emergency,False
13,4,Connie Lawrence,doctor,emergency,True
14,4,Connie Lawrence,doctor,emergency,True
15,4,Connie Lawrence,doctor,emergency,False
16,4,Connie Lawrence,doctor,emergency,True
17,4,Connie Lawrence,doctor,emergency,True
18,5,Connie Lawrence,doctor,emergency,False
19,5,Connie Lawrence,doctor,emergency,True
20,5,Connie Lawrence,doctor,emergency,True
21,5,Connie Lawrence,doctor,emergency,False
22,6,Connie Lawrence,doctor,emergency,True
23,6,Connie Lawrence,doctor,emergency,True
24,6,Connie Lawrence,doctor,emergency,False
25,6,Connie Lawrence,doctor,emergency,False
26,7,Connie Lawrence,doctor,emergency,True
27,7,Connie Lawrence,doctor,emergency,False
28,7,Connie Lawrence,doctor,emergency,False
29,7,Connie Lawrence,doctor,emergency,True
30,7,Connie Lawrence,doctor,emergency,False
31,8,Connie Lawrence,doctor,emergency,True
32,8,Connie Lawrence,doctor,emergency,True
33,8,Connie Lawrence,doctor,emergency,False
34,8,Connie Lawrence,doctor,emergency,True
35,9,Connie Lawrence,doctor,emergency,True
36,9,Connie Lawrence,doctor,emergency,False
37,9,Connie Lawrence,doctor,emergency,True
38,9,Connie Lawrence,doctor,emergency,True
39,10,Connie Lawrence,doctor,emergency,False
40,10,Connie Lawrence,doctor,emergency,True
41,10,Connie Lawrence,doctor,emergency,True
42,10,Connie Lawrence,doctor,emergency,False
43,10,Connie Lawrence,doctor,emergency,True
44,11,Connie Lawrence,doctor,emergency,True
45,11,Connie Lawrence,doctor,emergency,False
46,11,Connie Lawrence,doctor,emergency,True
47,11,Connie Lawrence,doctor,emergency,True
48,12,Connie Lawrence,doctor,emergency,False
49,12,Connie Lawrence,doctor,emergency,True
50,12,Connie Lawrence,doctor,emergency,True
51,12,Connie Lawrence,doctor,emergency,False
52,13,Connie Lawrence,doctor,emergency,True
1,1,Abigail Shaffer,doctor,emergency,True
2,1,Abigail Shaffer,doctor,emergency,True
3,1,Abigail Shaffer,doctor,emergency,False
4,1,Abigail Shaffer,doctor,emergency,True
5,2,Abigail Shaffer,doctor,emergency,True
6,2,Abigail Shaffer,doctor,emergency,False
7,2,Abigail Shaffer,doctor,emergency,True
8,2,Abigail Shaffer,doctor,emergency,True
9,3,Abigail Shaffer,doctor,emergency,False
10,3,Abigail Shaffer,doctor,emergency,True
11,3,Abigail Shaffer,doctor,emergency,True
12,3,Abigail Shaffer,doctor,emergency,False
13,4,Abigail Shaffer,doctor,emergency,True
14,4,Abigail Shaffer,doctor,emergency,True
15,4,Abigail Shaffer,doctor,emergency,False
16,4,Abigail Shaffer,doctor,emergency,True
17,4,Abigail Shaffer,doctor,emergency,True
18,5,Abigail Shaffer,doctor,emergency,False
19,5,Abigail Shaffer,doctor,emergency,True
20,5,Abigail Shaffer,doctor,emergency,True
21,5,Abigail Shaffer,doctor,emergency,False
22,6,Abigail Shaffer,doctor,emergency,True
23,6,Abigail Shaffer,doctor,emergency,True
24,6,Abigail Shaffer,doctor,emergency,False
25,6,Abigail Shaffer,doctor,emergency,True
26,7,Abigail Shaffer,doctor,emergency,True
27,7,Abigail Shaffer,doctor,emergency,False
28,7,Abigail Shaffer,doctor,emergency,True
29,7,Abigail Shaffer,doctor,emergency,True
30,7,Abigail Shaffer,doctor,emergency,False
31,8,Abigail Shaffer,doctor,emergency,False
32,8,Abigail Shaffer,doctor,emergency,True
33,8,Abigail Shaffer,doctor,emergency,False
34,8,Abigail Shaffer,doctor,emergency,False
35,9,Abigail Shaffer,doctor,emergency,True
36,9,Abigail Shaffer,doctor,emergency,False
37,9,Abigail Shaffer,doctor,emergency,True
38,9,Abigail Shaffer,doctor,emergency,True
39,10,Abigail Shaffer,doctor,emergency,False
40,10,Abigail Shaffer,doctor,emergency,True
41,10,Abigail Shaffer,doctor,emergency,True
42,10,Abigail Shaffer,doctor,emergency,False
43,10,Abigail Shaffer,doctor,emergency,True
44,11,Abigail Shaffer,doctor,emergency,True
45,11,Abigail Shaffer,doctor,emergency,False
46,11,Abigail Shaffer,doctor,emergency,True
47,11,Abigail Shaffer,doctor,emergency,True
48,12,Abigail Shaffer,doctor,emergency,False
49,12,Abigail Shaffer,doctor,emergency,True
50,12,Abigail Shaffer,doctor,emergency,True
51,12,Abigail Shaffer,doctor,emergency,False
52,13,Abigail Shaffer,doctor,emergency,True
1,1,Gina Moore,doctor,emergency,True
2,1,Gina Moore,doctor,emergency,True
3,1,Gina Moore,doctor,emergency,False
4,1,Gina Moore,doctor,emergency,True
5,2,Gina Moore,doctor,emergency,False
6,2,Gina Moore,doctor,emergency,False
7,2,Gina Moore,doctor,emergency,True
8,2,Gina Moore,doctor,emergency,True
9,3,Gina Moore,doctor,emergency,False
10,3,Gina Moore,doctor,emergency,True
11,3,Gina Moore,doctor,emergency,True
12,3,Gina Moore,doctor,emergency,False
13,4,Gina Moore,doctor,emergency,False
14,4,Gina Moore,doctor,emergency,True
15,4,Gina Moore,doctor,emergency,False
16,4,Gina Moore,doctor,emergency,True
17,4,Gina Moore,doctor,emergency,True
18,5,Gina Moore,doctor,emergency,False
19,5,Gina Moore,doctor,emergency,True
20,5,Gina Moore,doctor,emergency,False
21,5,Gina Moore,doctor,emergency,False
22,6,Gina Moore,doctor,emergency,True
23,6,Gina Moore,doctor,emergency,True
24,6,Gina Moore,doctor,emergency,False
25,6,Gina Moore,doctor,emergency,True
26,7,Gina Moore,doctor,emergency,True
27,7,Gina Moore,doctor,emergency,False
28,7,Gina Moore,doctor,emergency,True
29,7,Gina Moore,doctor,emergency,False
30,7,Gina Moore,doctor,emergency,False
31,8,Gina Moore,doctor,emergency,True
32,8,Gina Moore,doctor,emergency,True
33,8,Gina Moore,doctor,emergency,False
34,8,Gina Moore,doctor,emergency,True
35,9,Gina Moore,doctor,emergency,True
36,9,Gina Moore,doctor,emergency,False
37,9,Gina Moore,doctor,emergency,True
38,9,Gina Moore,doctor,emergency,False
39,10,Gina Moore,doctor,emergency,False
40,10,Gina Moore,doctor,emergency,True
41,10,Gina Moore,doctor,emergency,True
42,10,Gina Moore,doctor,emergency,False
43,10,Gina Moore,doctor,emergency,True
44,11,Gina Moore,doctor,emergency,True
45,11,Gina Moore,doctor,emergency,False
46,11,Gina Moore,doctor,emergency,True
47,11,Gina Moore,doctor,emergency,True
48,12,Gina Moore,doctor,emergency,False
49,12,Gina Moore,doctor,emergency,True
50,12,Gina Moore,doctor,emergency,True
51,12,Gina Moore,doctor,emergency,False
52,13,Gina Moore,doctor,emergency,True
1,1,Gabrielle Davis,nurse,emergency,True
2,1,Gabrielle Davis,nurse,emergency,True
3,1,Gabrielle Davis,nurse,emergency,False
4,1,Gabrielle Davis,nurse,emergency,True
5,2,Gabrielle Davis,nurse,emergency,False
6,2,Gabrielle Davis,nurse,emergency,False
7,2,Gabrielle Davis,nurse,emergency,True
8,2,Gabrielle Davis,nurse,emergency,False
9,3,Gabrielle Davis,nurse,emergency,False
10,3,Gabrielle Davis,nurse,emergency,True
11,3,Gabrielle Davis,nurse,emergency,True
12,3,Gabrielle Davis,nurse,emergency,False
13,4,Gabrielle Davis,nurse,emergency,True
14,4,Gabrielle Davis,nurse,emergency,True
15,4,Gabrielle Davis,nurse,emergency,False
16,4,Gabrielle Davis,nurse,emergency,True
17,4,Gabrielle Davis,nurse,emergency,False
18,5,Gabrielle Davis,nurse,emergency,False
19,5,Gabrielle Davis,nurse,emergency,True
20,5,Gabrielle Davis,nurse,emergency,True
21,5,Gabrielle Davis,nurse,emergency,False
22,6,Gabrielle Davis,nurse,emergency,True
23,6,Gabrielle Davis,nurse,emergency,True
24,6,Gabrielle Davis,nurse,emergency,False
25,6,Gabrielle Davis,nurse,emergency,False
26,7,Gabrielle Davis,nurse,emergency,True
27,7,Gabrielle Davis,nurse,emergency,False
28,7,Gabrielle Davis,nurse,emergency,True
29,7,Gabrielle Davis,nurse,emergency,True
30,7,Gabrielle Davis,nurse,emergency,False
31,8,Gabrielle Davis,nurse,emergency,True
32,8,Gabrielle Davis,nurse,emergency,True
33,8,Gabrielle Davis,nurse,emergency,False
34,8,Gabrielle Davis,nurse,emergency,False
35,9,Gabrielle Davis,nurse,emergency,True
36,9,Gabrielle Davis,nurse,emergency,False
37,9,Gabrielle Davis,nurse,emergency,True
38,9,Gabrielle Davis,nurse,emergency,True
39,10,Gabrielle Davis,nurse,emergency,False
40,10,Gabrielle Davis,nurse,emergency,True
41,10,Gabrielle Davis,nurse,emergency,True
42,10,Gabrielle Davis,nurse,emergency,False
43,10,Gabrielle Davis,nurse,emergency,True
44,11,Gabrielle Davis,nurse,emergency,True
45,11,Gabrielle Davis,nurse,emergency,False
46,11,Gabrielle Davis,nurse,emergency,True
47,11,Gabrielle Davis,nurse,emergency,True
48,12,Gabrielle Davis,nurse,emergency,False
49,12,Gabrielle Davis,nurse,emergency,True
50,12,Gabrielle Davis,nurse,emergency,True
51,12,Gabrielle Davis,nurse,emergency,False
52,13,Gabrielle Davis,nurse,emergency,True
1,1,Ryan Munoz,nurse,emergency,False
2,1,Ryan Munoz,nurse,emergency,True
3,1,Ryan Munoz,nurse,emergency,False
4,1,Ryan Munoz,nurse,emergency,True
5,2,Ryan Munoz,nurse,emergency,True
6,2,Ryan Munoz,nurse,emergency,False
7,2,Ryan Munoz,nurse,emergency,True
8,2,Ryan Munoz,nurse,emergency,True
9,3,Ryan Munoz,nurse,emergency,False
10,3,Ryan Munoz,nurse,emergency,True
11,3,Ryan Munoz,nurse,emergency,True
12,3,Ryan Munoz,nurse,emergency,False
13,4,Ryan Munoz,nurse,emergency,True
14,4,Ryan Munoz,nurse,emergency,True
15,4,Ryan Munoz,nurse,emergency,False
16,4,Ryan Munoz,nurse,emergency,True
17,4,Ryan Munoz,nurse,emergency,True
18,5,Ryan Munoz,nurse,emergency,False
19,5,Ryan Munoz,nurse,emergency,True
20,5,Ryan Munoz,nurse,emergency,True
21,5,Ryan Munoz,nurse,emergency,False
22,6,Ryan Munoz,nurse,emergency,True
23,6,Ryan Munoz,nurse,emergency,True
24,6,Ryan Munoz,nurse,emergency,False
25,6,Ryan Munoz,nurse,emergency,True
26,7,Ryan Munoz,nurse,emergency,True
27,7,Ryan Munoz,nurse,emergency,False
28,7,Ryan Munoz,nurse,emergency,True
29,7,Ryan Munoz,nurse,emergency,True
30,7,Ryan Munoz,nurse,emergency,False
31,8,Ryan Munoz,nurse,emergency,True
32,8,Ryan Munoz,nurse,emergency,True
33,8,Ryan Munoz,nurse,emergency,False
34,8,Ryan Munoz,nurse,emergency,True
35,9,Ryan Munoz,nurse,emergency,True
36,9,Ryan Munoz,nurse,emergency,False
37,9,Ryan Munoz,nurse,emergency,True
38,9,Ryan Munoz,nurse,emergency,True
39,10,Ryan Munoz,nurse,emergency,False
40,10,Ryan Munoz,nurse,emergency,True
41,10,Ryan Munoz,nurse,emergency,False
42,10,Ryan Munoz,nurse,emergency,False
43,10,Ryan Munoz,nurse,emergency,True
44,11,Ryan Munoz,nurse,emergency,True
45,11,Ryan Munoz,nurse,emergency,False
46,11,Ryan Munoz,nurse,emergency,True
47,11,Ryan Munoz,nurse,emergency,True
48,12,Ryan Munoz,nurse,emergency,False
49,12,Ryan Munoz,nurse,emergency,True
50,12,Ryan Munoz,nurse,emergency,True
51,12,Ryan Munoz,nurse,emergency,False
52,13,Ryan Munoz,nurse,emergency,True
1,1,Monica Herrera,nurse,emergency,True
2,1,Monica Herrera,nurse,emergency,True
3,1,Monica Herrera,nurse,emergency,False
4,1,Monica Herrera,nurse,emergency,True
5,2,Monica Herrera,nurse,emergency,True
6,2,Monica Herrera,nurse,emergency,False
7,2,Monica Herrera,nurse,emergency,True
8,2,Monica Herrera,nurse,emergency,True
9,3,Monica Herrera,nurse,emergency,False
10,3,Monica Herrera,nurse,emergency,True
11,3,Monica Herrera,nurse,emergency,True
12,3,Monica Herrera,nurse,emergency,False
13,4,Monica Herrera,nurse,emergency,True
14,4,Monica Herrera,nurse,emergency,True
15,4,Monica Herrera,nurse,emergency,False
16,4,Monica Herrera,nurse,emergency,True
17,4,Monica Herrera,nurse,emergency,True
18,5,Monica Herrera,nurse,emergency,False
19,5,Monica Herrera,nurse,emergency,True
20,5,Monica Herrera,nurse,emergency,True
21,5,Monica Herrera,nurse,emergency,False
22,6,Monica Herrera,nurse,emergency,True
23,6,Monica Herrera,nurse,emergency,True
24,6,Monica Herrera,nurse,emergency,False
25,6,Monica Herrera,nurse,emergency,True
26,7,Monica Herrera,nurse,emergency,True
27,7,Monica Herrera,nurse,emergency,False
28,7,Monica Herrera,nurse,emergency,True
29,7,Monica Herrera,nurse,emergency,True
30,7,Monica Herrera,nurse,emergency,False
31,8,Monica Herrera,nurse,emergency,True
32,8,Monica Herrera,nurse,emergency,False
33,8,Monica Herrera,nurse,emergency,False
34,8,Monica Herrera,nurse,emergency,True
35,9,Monica Herrera,nurse,emergency,True
36,9,Monica Herrera,nurse,emergency,False
37,9,Monica Herrera,nurse,emergency,True
38,9,Monica Herrera,nurse,emergency,True
39,10,Monica Herrera,nurse,emergency,False
40,10,Monica Herrera,nurse,emergency,True
41,10,Monica Herrera,nurse,emergency,True
42,10,Monica Herrera,nurse,emergency,False
43,10,Monica Herrera,nurse,emergency,True
44,11,Monica Herrera,nurse,emergency,True
45,11,Monica Herrera,nurse,emergency,False
46,11,Monica Herrera,nurse,emergency,True
47,11,Monica Herrera,nurse,emergency,True
48,12,Monica Herrera,nurse,emergency,False
49,12,Monica Herrera,nurse,emergency,True
50,12,Monica Herrera,nurse,emergency,True
51,12,Monica Herrera,nurse,emergency,False
52,13,Monica Herrera,nurse,emergency,True
1,1,Jamie Arnold,nurse,emergency,True
2,1,Jamie Arnold,nurse,emergency,True
3,1,Jamie Arnold,nurse,emergency,False
4,1,Jamie Arnold,nurse,emergency,True
5,2,Jamie Arnold,nurse,emergency,True
6,2,Jamie Arnold,nurse,emergency,False
7,2,Jamie Arnold,nurse,emergency,True
8,2,Jamie Arnold,nurse,emergency,True
9,3,Jamie Arnold,nurse,emergency,False
10,3,Jamie Arnold,nurse,emergency,True
11,3,Jamie Arnold,nurse,emergency,True
12,3,Jamie Arnold,nurse,emergency,False
13,4,Jamie Arnold,nurse,emergency,False
14,4,Jamie Arnold,nurse,emergency,True
15,4,Jamie Arnold,nurse,emergency,False
16,4,Jamie Arnold,nurse,emergency,False
17,4,Jamie Arnold,nurse,emergency,True
18,5,Jamie Arnold,nurse,emergency,False
19,5,Jamie Arnold,nurse,emergency,True
20,5,Jamie Arnold,nurse,emergency,True
21,5,Jamie Arnold,nurse,emergency,False
22,6,Jamie Arnold,nurse,emergency,True
23,6,Jamie Arnold,nurse,emergency,False
24,6,Jamie Arnold,nurse,emergency,False
25,6,Jamie Arnold,nurse,emergency,True
26,7,Jamie Arnold,nurse,emergency,True
27,7,Jamie Arnold,nurse,emergency,False
28,7,Jamie Arnold,nurse,emergency,True
29,7,Jamie Arnold,nurse,emergency,True
30,7,Jamie Arnold,nurse,emergency,False
31,8,Jamie Arnold,nurse,emergency,True
32,8,Jamie Arnold,nurse,emergency,True
33,8,Jamie Arnold,nurse,emergency,False
34,8,Jamie Arnold,nurse,emergency,True
35,9,Jamie Arnold,nurse,emergency,True
36,9,Jamie Arnold,nurse,emergency,False
37,9,Jamie Arnold,nurse,emergency,True
38,9,Jamie Arnold,nurse,emergency,True
39,10,Jamie Arnold,nurse,emergency,False
40,10,Jamie Arnold,nurse,emergency,False
41,10,Jamie Arnold,nurse,emergency,True
42,10,Jamie Arnold,nurse,emergency,False
43,10,Jamie Arnold,nurse,emergency,False
44,11,Jamie Arnold,nurse,emergency,True
45,11,Jamie Arnold,nurse,emergency,False
46,11,Jamie Arnold,nurse,emergency,True
