week,month,staff_id,staff_name,role,service,present
1,1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
2,1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
3,1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
4,1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
5,2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
6,2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
7,2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
8,2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
9,3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
10,3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
11,3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
12,3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
13,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
14,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
15,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
16,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
17,4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
18,5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
19,5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
20,5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
21,5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
22,6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
23,6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
24,6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
25,6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
26,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
27,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
28,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
29,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
30,7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
31,8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
32,8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
33,8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
34,8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
35,9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
36,9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
37,9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
38,9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
39,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
40,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
41,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
42,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
43,10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
44,11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
45,11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
46,11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
47,11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
48,12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
49,12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
50,12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
51,12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,False
52,13,STF-2e0dd6e9,Angie Henderson,doctor,emergency,True
1,1,STF-403052c0,Daniel Wagner,doctor,emergency,True
2,1,STF-403052c0,Daniel Wagner,doctor,emergency,True
3,1,STF-403052c0,Daniel Wagner,doctor,emergency,False
4,1,STF-403052c0,Daniel Wagner,doctor,emergency,True
5,2,STF-403052c0,Daniel Wagner,doctor,emergency,True
6,2,STF-403052c0,Daniel Wagner,doctor,emergency,False
7,2,STF-403052c0,Daniel Wagner,doctor,emergency,True
8,2,STF-403052c0,Daniel Wagner,doctor,emergency,True
9,3,STF-403052c0,Daniel Wagner,doctor,emergency,False
10,3,STF-403052c0,Daniel Wagner,doctor,emergency,True
11,3,STF-403052c0,Daniel Wagner,doctor,emergency,True
12,3,STF-403052c0,Daniel Wagner,doctor,emergency,False
13,4,STF-403052c0,Daniel Wagner,doctor,emergency,False
14,4,STF-403052c0,Daniel Wagner,doctor,emergency,True
15,4,STF-403052c0,Daniel Wagner,doctor,emergency,False
16,4,STF-403052c0,Daniel Wagner,doctor,emergency,True
17,4,STF-403052c0,Daniel Wagner,doctor,emergency,True
18,5,STF-403052c0,Daniel Wagner,doctor,emergency,False
19,5,STF-403052c0,Daniel Wagner,doctor,emergency,True
20,5,STF-403052c0,Daniel Wagner,doctor,emergency,True
21,5,STF-403052c0,Daniel Wagner,doctor,emergency,False
22,6,STF-403052c0,Daniel Wagner,doctor,emergency,True
23,6,STF-403052c0,Daniel Wagner,doctor,emergency,True
24,6,STF-403052c0,Daniel Wagner,doctor,emergency,False
25,6,STF-403052c0,Daniel Wagner,doctor,emergency,True
26,7,STF-403052c0,Daniel Wagner,doctor,emergency,True
27,7,STF-403052c0,Daniel Wagner,doctor,emergency,False
28,7,STF-403052c0,Daniel Wagner,doctor,emergency,True
29,7,STF-403052c0,Daniel Wagner,doctor,emergency,True
30,7,STF-403052c0,Daniel Wagner,doctor,emergency,False
31,8,STF-403052c0,Daniel Wagner,doctor,emergency,True
32,8,STF-403052c0,Daniel Wagner,doctor,emergency,True
33,8,STF-403052c0,Daniel Wagner,doctor,emergency,False
34,8,STF-403052c0,Daniel Wagner,doctor,emergency,True
35,9,STF-403052c0,Daniel Wagner,doctor,emergency,True
36,9,STF-403052c0,Daniel Wagner,doctor,emergency,False
37,9,STF-403052c0,Daniel Wagner,doctor,emergency,False
38,9,STF-403052c0,Daniel Wagner,doctor,emergency,False
39,10,STF-403052c0,Daniel Wagner,doctor,emergency,False
40,10,STF-403052c0,Daniel Wagner,doctor,emergency,True
41,10,STF-403052c0,Daniel Wagner,doctor,emergency,True
42,10,STF-403052c0,Daniel Wagner,doctor,emergency,False
43,10,STF-403052c0,Daniel Wagner,doctor,emergency,True
44,11,STF-403052c0,Daniel Wagner,doctor,emergency,True
45,11,STF-403052c0,Daniel Wagner,doctor,emergency,False
46,11,STF-403052c0,Daniel Wagner,doctor,emergency,True
47,11,STF-403052c0,Daniel Wagner,doctor,emergency,True
48,12,STF-403052c0,Daniel Wagner,doctor,emergency,False
49,12,STF-403052c0,Daniel Wagner,doctor,emergency,True
50,12,STF-403052c0,Daniel Wagner,doctor,emergency,True
51,12,STF-403052c0,Daniel Wagner,doctor,emergency,False
52,13,STF-403052c0,Daniel Wagner,doctor,emergency,True
1,1,STF-c696ae9c,Cristian Santos,doctor,emergency,True
2,1,STF-c696ae9c,Cristian Santos,doctor,emergency,True
3,1,STF-c696ae9c,Cristian Santos,doctor,emergency,False
4,1,STF-c696ae9c,Cristian Santos,doctor,emergency,True
5,2,STF-c696ae9c,Cristian Santos,doctor,emergency,True
6,2,STF-c696ae9c,Cristian Santos,doctor,emergency,False
7,2,STF-c696ae9c,Cristian Santos,doctor,emergency,True
8,2,STF-c696ae9c,Cristian Santos,doctor,emergency,True
9,3,STF-c696ae9c,Cristian Santos,doctor,emergency,False
10,3,STF-c696ae9c,Cristian Santos,doctor,emergency,False
11,3,STF-c696ae9c,Cristian Santos,doctor,emergency,True
12,3,STF-c696ae9c,Cristian Santos,doctor,emergency,False
13,4,STF-c696ae9c,Cristian Santos,doctor,emergency,False
14,4,STF-c696ae9c,Cristian Santos,doctor,emergency,False
15,4,STF-c696ae9c,Cristian Santos,doctor,emergency,False
16,4,STF-c696ae9c,Cristian Santos,doctor,emergency,True
17,4,STF-c696ae9c,Cristian Santos,doctor,emergency,True
18,5,STF-c696ae9c,Cristian Santos,doctor,emergency,False
19,5,STF-c696ae9c,Cristian Santos,doctor,emergency,True
20,5,STF-c696ae9c,Cristian Santos,doctor,emergency,True
21,5,STF-c696ae9c,Cristian Santos,doctor,emergency,False
22,6,STF-c696ae9c,Cristian Santos,doctor,emergency,True
23,6,STF-c696ae9c,Cristian Santos,doctor,emergency,True
24,6,STF-c696ae9c,Cristian Santos,doctor,emergency,False
25,6,STF-c696ae9c,Cristian Santos,doctor,emergency,True
26,7,STF-c696ae9c,Cristian Santos,doctor,emergency,True
27,7,STF-c696ae9c,Cristian Santos,doctor,emergency,False
28,7,STF-c696ae9c,Cristian Santos,doctor,emergency,True
29,7,STF-c696ae9c,Cristian Santos,doctor,emergency,True
30,7,STF-c696ae9c,Cristian Santos,doctor,emergency,False
31,8,STF-c696ae9c,Cristian Santos,doctor,emergency,True
32,8,STF-c696ae9c,Cristian Santos,doctor,emergency,True
33,8,STF-c696ae9c,Cristian Santos,doctor,emergency,False
34,8,STF-c696ae9c,Cristian Santos,doctor,emergency,True
35,9,STF-c696ae9c,Cristian Santos,doctor,emergency,False
36,9,STF-c696ae9c,Cristian Santos,doctor,emergency,False
37,9,STF-c696ae9c,Cristian Santos,doctor,emergency,True
38,9,STF-c696ae9c,Cristian Santos,doctor,emergency,True
39,10,STF-c696ae9c,Cristian Santos,doctor,emergency,False
40,10,STF-c696ae9c,Cristian Santos,doctor,emergency,True
41,10,STF-c696ae9c,Cristian Santos,doctor,emergency,True
42,10,STF-c696ae9c,Cristian Santos,doctor,emergency,False
43,10,STF-c696ae9c,Cristian Santos,doctor,emergency,True
44,11,STF-c696ae9c,Cristian Santos,doctor,emergency,True
45,11,STF-c696ae9c,Cristian Santos,doctor,emergency,False
46,11,STF-c696ae9c,Cristian Santos,doctor,emergency,False
47,11,STF-c696ae9c,Cristian Santos,doctor,emergency,True
48,12,STF-c696ae9c,Cristian Santos,doctor,emergency,False
49,12,STF-c696ae9c,Cristian Santos,doctor,emergency,True
50,12,STF-c696ae9c,Cristian Santos,doctor,emergency,True
51,12,STF-c696ae9c,Cristian Santos,doctor,emergency,False
52,13,STF-c696ae9c,Cristian Santos,doctor,emergency,True
1,1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
2,1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
3,1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
4,1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
5,2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
6,2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
7,2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
8,2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
9,3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
10,3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
11,3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
12,3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
13,4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
14,4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
15,4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
16,4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
17,4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
18,5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
19,5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
20,5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
21,5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
22,6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
23,6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
24,6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
25,6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
26,7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
27,7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
28,7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
29,7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
30,7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
31,8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
32,8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
33,8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
34,8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
35,9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
36,9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
37,9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
38,9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
39,10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
40,10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
41,10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
42,10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
43,10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
44,11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
45,11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
46,11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
47,11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
48,12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
49,12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
50,12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
51,12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,False
52,13,STF-bea9d5c9,Connie Lawrence,doctor,emergency,True
1,1,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
2,1,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
3,1,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
4,1,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
5,2,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
6,2,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
7,2,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
8,2,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
9,3,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
10,3,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
11,3,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
12,3,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
13,4,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
14,4,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
15,4,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
16,4,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
17,4,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
18,5,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
19,5,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
20,5,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
21,5,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
22,6,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
23,6,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
24,6,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
25,6,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
26,7,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
27,7,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
28,7,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
29,7,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
30,7,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
31,8,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
32,8,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
33,8,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
34,8,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
35,9,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
36,9,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
37,9,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
38,9,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
39,10,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
40,10,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
41,10,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
42,10,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
43,10,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
44,11,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
45,11,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
46,11,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
47,11,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
48,12,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
49,12,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
50,12,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
51,12,STF-d114bde8,Abigail Shaffer,doctor,emergency,False
52,13,STF-d114bde8,Abigail Shaffer,doctor,emergency,True
1,1,STF-7dfe6d32,Gina Moore,doctor,emergency,True
2,1,STF-7dfe6d32,Gina Moore,doctor,emergency,True
3,1,STF-7dfe6d32,Gina Moore,doctor,emergency,False
4,1,STF-7dfe6d32,Gina Moore,doctor,emergency,True
5,2,STF-7dfe6d32,Gina Moore,doctor,emergency,False
6,2,STF-7dfe6d32,Gina Moore,doctor,emergency,False
7,2,STF-7dfe6d32,Gina Moore,doctor,emergency,True
8,2,STF-7dfe6d32,Gina Moore,doctor,emergency,True
9,3,STF-7dfe6d32,Gina Moore,doctor,emergency,False
10,3,STF-7dfe6d32,Gina Moore,doctor,emergency,True
11,3,STF-7dfe6d32,Gina Moore,doctor,emergency,True
12,3,STF-7dfe6d32,Gina Moore,doctor,emergency,False
13,4,STF-7dfe6d32,Gina Moore,doctor,emergency,False
14,4,STF-7dfe6d32,Gina Moore,doctor,emergency,True
15,4,STF-7dfe6d32,Gina Moore,doctor,emergency,False
16,4,STF-7dfe6d32,Gina Moore,doctor,emergency,True
17,4,STF-7dfe6d32,Gina Moore,doctor,emergency,True
18,5,STF-7dfe6d32,Gina Moore,doctor,emergency,False
19,5,STF-7dfe6d32,Gina Moore,doctor,emergency,True
20,5,STF-7dfe6d32,Gina Moore,doctor,emergency,False
21,5,STF-7dfe6d32,Gina Moore,doctor,emergency,False
22,6,STF-7dfe6d32,Gina Moore,doctor,emergency,True
23,6,STF-7dfe6d32,Gina Moore,doctor,emergency,True
24,6,STF-7dfe6d32,Gina Moore,doctor,emergency,False
25,6,STF-7dfe6d32,Gina Moore,doctor,emergency,True
26,7,STF-7dfe6d32,Gina Moore,doctor,emergency,True
27,7,STF-7dfe6d32,Gina Moore,doctor,emergency,False
28,7,STF-7dfe6d32,Gina Moore,doctor,emergency,True
29,7,STF-7dfe6d32,Gina Moore,doctor,emergency,False
30,7,STF-7dfe6d32,Gina Moore,doctor,emergency,False
31,8,STF-7dfe6d32,Gina Moore,doctor,emergency,True
32,8,STF-7dfe6d32,Gina Moore,doctor,emergency,True
33,8,STF-7dfe6d32,Gina Moore,doctor,emergency,False
34,8,STF-7dfe6d32,Gina Moore,doctor,emergency,True
35,9,STF-7dfe6d32,Gina Moore,doctor,emergency,True
36,9,STF-7dfe6d32,Gina Moore,doctor,emergency,False
37,9,STF-7dfe6d32,Gina Moore,doctor,emergency,True
38,9,STF-7dfe6d32,Gina Moore,doctor,emergency,False
39,10,STF-7dfe6d32,Gina Moore,doctor,emergency,False
40,10,STF-7dfe6d32,Gina Moore,doctor,emergency,True
41,10,STF-7dfe6d32,Gina Moore,doctor,emergency,True
42,10,STF-7dfe6d32,Gina Moore,doctor,emergency,False
43,10,STF-7dfe6d32,Gina Moore,doctor,emergency,True
44,11,STF-7dfe6d32,Gina Moore,doctor,emergency,True
45,11,STF-7dfe6d32,Gina Moore,doctor,emergency,False
46,11,STF-7dfe6d32,Gina Moore,doctor,emergency,True
47,11,STF-7dfe6d32,Gina Moore,doctor,emergency,True
48,12,STF-7dfe6d32,Gina Moore,doctor,emergency,False
49,12,STF-7dfe6d32,Gina Moore,doctor,emergency,True
50,12,STF-7dfe6d32,Gina Moore,doctor,emergency,True
51,12,STF-7dfe6d32,Gina Moore,doctor,emergency,False
52,13,STF-7dfe6d32,Gina Moore,doctor,emergency,True
1,1,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
2,1,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
3,1,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
4,1,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
5,2,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
6,2,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
7,2,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
8,2,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
9,3,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
10,3,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
11,3,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
12,3,STF-ebbeb197,Gabrielle Davis,nurse,emergency,False
13,4,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
14,4,STF-ebbeb197,Gabrielle Davis,nurse,emergency,True
